,neg,neu,pos,compound
506,0.464,0.536,0.0,-0.3818
507,0.0,1.0,0.0,0.0
508,0.0,0.488,0.512,0.2732
509,0.0,0.426,0.574,0.4019
510,0.0,1.0,0.0,0.0
511,0.0,0.656,0.344,0.2732
512,0.0,1.0,0.0,0.0
513,0.712,0.288,0.0,-0.8126
514,0.0,0.462,0.538,0.5423
515,0.197,0.645,0.158,-0.1677
516,0.0,0.769,0.231,0.2732
517,0.0,1.0,0.0,0.0
518,0.0,0.654,0.346,0.5719
519,0.0,0.97,0.03,0.128
520,0.147,0.853,0.0,-0.2263
521,0.079,0.921,0.0,-0.34
522,0.0,0.893,0.107,0.7345
523,0.0,1.0,0.0,0.0
524,0.0,1.0,0.0,0.0
525,0.07,0.92,0.009,-0.9169
526,0.0,1.0,0.0,0.0
527,0.087,0.913,0.0,-0.296
528,0.0,1.0,0.0,0.0
529,0.219,0.781,0.0,-0.8398
530,0.0,1.0,0.0,0.0
531,0.06,0.94,0.0,-0.7003
532,0.145,0.855,0.0,-0.296
533,0.0,0.88,0.12,0.128
534,0.0,1.0,0.0,0.0
535,0.0,1.0,0.0,0.0
536,0.0,0.706,0.294,0.3612
537,0.0,1.0,0.0,0.0
538,0.0,1.0,0.0,0.0
539,0.529,0.471,0.0,-0.6705
540,0.0,1.0,0.0,0.0
541,0.0,1.0,0.0,0.0
542,0.0,1.0,0.0,0.0
543,0.6,0.4,0.0,-0.6705
544,0.0,1.0,0.0,0.0
545,0.213,0.787,0.0,-0.4019
546,0.0,0.902,0.098,0.0772
547,0.293,0.707,0.0,-0.8074
548,0.0,1.0,0.0,0.0
549,0.0,0.872,0.128,0.4215
550,0.0,1.0,0.0,0.0
551,0.0,1.0,0.0,0.0
552,0.0,1.0,0.0,0.0
553,0.277,0.723,0.0,-0.6808
554,0.0,0.681,0.319,0.5777
555,0.0,1.0,0.0,0.0
556,0.0,1.0,0.0,0.0
557,0.0,1.0,0.0,0.0
558,0.623,0.377,0.0,-0.5106
559,0.0,0.832,0.168,0.3865
560,0.0,1.0,0.0,0.0
561,0.0,0.857,0.143,0.4588
562,0.0,1.0,0.0,0.0
563,0.351,0.649,0.0,-0.4019
564,0.42,0.58,0.0,-0.4404
565,0.194,0.806,0.0,-0.34
566,0.0,1.0,0.0,0.0
567,0.0,1.0,0.0,0.0
568,0.0,1.0,0.0,0.0
569,0.0,0.897,0.103,0.3167
570,0.123,0.685,0.192,0.25
571,0.0,0.6,0.4,0.25
572,0.0,1.0,0.0,0.0
573,0.294,0.706,0.0,-0.8748
574,0.144,0.856,0.0,-0.4019
575,0.0,1.0,0.0,0.0
576,0.0,0.844,0.156,0.5423
577,0.0,0.842,0.158,0.4939
578,0.0,1.0,0.0,0.0
579,0.0,0.925,0.075,0.0772
580,0.277,0.723,0.0,-0.3182
581,0.0,0.792,0.208,0.2732
582,0.0,1.0,0.0,0.0
583,0.0,1.0,0.0,0.0
584,0.16,0.84,0.0,-0.7096
585,0.0,1.0,0.0,0.0
586,0.0,1.0,0.0,0.0
587,0.104,0.896,0.0,-0.296
588,0.0,1.0,0.0,0.0
589,0.0,0.755,0.245,0.4404
590,0.161,0.683,0.155,-0.0258
591,0.0,0.874,0.126,0.0772
592,0.0,0.928,0.072,0.0644
593,0.0,0.82,0.18,0.3875
594,0.224,0.35,0.427,0.2263
595,0.0,1.0,0.0,0.0
596,0.0,1.0,0.0,0.0
597,0.0,1.0,0.0,0.0
598,0.0,1.0,0.0,0.0
599,0.0,0.61,0.39,0.4927
600,0.0,0.738,0.262,0.5994
601,0.444,0.556,0.0,-0.4939
602,0.0,1.0,0.0,0.0
603,0.0,1.0,0.0,0.0
604,0.0,1.0,0.0,0.0
605,0.0,1.0,0.0,0.0
606,0.0,1.0,0.0,0.0
607,0.0,1.0,0.0,0.0
608,0.155,0.673,0.172,-0.128
609,0.0,1.0,0.0,0.0
610,0.423,0.577,0.0,-0.5267
611,0.551,0.449,0.0,-0.8225
612,0.0,0.839,0.161,0.3182
613,0.286,0.714,0.0,-0.4215
614,0.0,1.0,0.0,0.0
615,0.381,0.619,0.0,-0.6486
616,0.0,0.806,0.194,0.5574
617,0.0,0.741,0.259,0.2732
618,0.0,0.769,0.231,0.128
619,0.517,0.483,0.0,-0.9146
620,0.154,0.846,0.0,-0.4767
621,0.0,1.0,0.0,0.0
622,0.0,0.444,0.556,0.3612
623,0.0,1.0,0.0,0.0
624,0.0,0.756,0.244,0.4404
625,0.0,1.0,0.0,0.0
626,0.167,0.833,0.0,-0.296
627,0.0,1.0,0.0,0.0
628,0.0,0.783,0.217,0.3612
629,0.0,1.0,0.0,0.0
630,0.0,1.0,0.0,0.0
631,0.439,0.561,0.0,-0.6908
632,0.0,1.0,0.0,0.0
633,0.0,1.0,0.0,0.0
634,0.473,0.0,0.527,0.0772
635,0.0,1.0,0.0,0.0
