,neg,neu,pos,compound
86,0.0,1.0,0.0,0.0
87,0.605,0.395,0.0,-0.6808
88,0.206,0.794,0.0,-0.7906
89,0.0,1.0,0.0,0.0
90,0.0,1.0,0.0,0.0
91,0.112,0.888,0.0,-0.34
92,0.0,1.0,0.0,0.0
93,0.249,0.751,0.0,-0.5106
94,0.055,0.884,0.061,0.0772
95,0.0,1.0,0.0,0.0
96,0.0,0.927,0.073,0.2263
97,0.0,1.0,0.0,0.0
98,0.0,0.818,0.182,0.4404
99,0.0,1.0,0.0,0.0
100,0.0,0.706,0.294,0.3612
101,0.0,1.0,0.0,0.0
102,0.0,1.0,0.0,0.0
103,0.0,0.83,0.17,0.6259
104,0.0,1.0,0.0,0.0
105,0.529,0.471,0.0,-0.9517
106,0.318,0.682,0.0,-0.4215
107,0.0,1.0,0.0,0.0
108,0.046,0.872,0.082,0.2846
109,0.333,0.667,0.0,-0.3597
110,0.0,1.0,0.0,0.0
111,0.0,1.0,0.0,0.0
112,0.0,0.73,0.27,0.5859
113,0.0,0.924,0.076,0.4215
114,0.0,1.0,0.0,0.0
115,0.0,1.0,0.0,0.0
116,0.0,1.0,0.0,0.0
117,0.0,0.737,0.263,0.3612
118,0.084,0.916,0.0,-0.1901
119,0.153,0.645,0.202,0.1531
120,0.0,1.0,0.0,0.0
121,0.0,1.0,0.0,0.0
122,0.0,0.519,0.481,0.5719
123,0.0,1.0,0.0,0.0
124,0.0,1.0,0.0,0.0
125,0.0,1.0,0.0,0.0
126,0.0,1.0,0.0,0.0
127,0.095,0.806,0.1,0.0258
128,0.182,0.818,0.0,-0.25
129,0.136,0.864,0.0,-0.296
130,0.0,0.597,0.403,0.4019
131,0.0,0.8,0.2,0.3612
132,0.0,1.0,0.0,0.0
133,0.0,1.0,0.0,0.0
134,0.0,1.0,0.0,0.0
135,0.0,1.0,0.0,0.0
136,0.0,1.0,0.0,0.0
137,0.0,1.0,0.0,0.0
138,0.0,1.0,0.0,0.0
139,0.0,1.0,0.0,0.0
140,0.0,1.0,0.0,0.0
141,0.0,1.0,0.0,0.0
142,0.0,1.0,0.0,0.0
143,0.0,1.0,0.0,0.0
144,0.0,1.0,0.0,0.0
145,0.565,0.435,0.0,-0.0772
146,0.0,1.0,0.0,0.0
147,0.0,1.0,0.0,0.0
148,0.0,1.0,0.0,0.0
149,0.0,1.0,0.0,0.0
150,0.0,1.0,0.0,0.0
151,0.0,1.0,0.0,0.0
152,0.0,1.0,0.0,0.0
153,0.279,0.721,0.0,-0.4767
154,0.0,1.0,0.0,0.0
155,0.0,1.0,0.0,0.0
156,0.0,1.0,0.0,0.0
157,0.0,1.0,0.0,0.0
158,0.0,0.508,0.492,0.4404
159,0.0,1.0,0.0,0.0
160,0.136,0.791,0.073,-0.2732
161,0.393,0.0,0.607,0.3182
162,0.0,0.763,0.237,0.4215
163,0.324,0.676,0.0,-0.34
164,0.0,1.0,0.0,0.0
165,0.286,0.714,0.0,-0.34
166,0.0,0.256,0.744,0.4404
167,0.453,0.0,0.547,0.128
168,0.0,1.0,0.0,0.0
